,time,latitude,longitude,2m_temperature,diff
3125,1990-05-11 05:00:00,40.25,271.75,278.97324,-2.5541992
3233,1990-05-15 17:00:00,40.25,271.75,292.3835,-2.7597046
3234,1990-05-15 18:00:00,40.25,271.75,291.82257,-3.3393555
3235,1990-05-15 19:00:00,40.25,271.75,291.39926,-3.8205261
3236,1990-05-15 20:00:00,40.25,271.75,291.60574,-3.6463623
3237,1990-05-15 21:00:00,40.25,271.75,291.49564,-3.099701
3259,1990-05-16 19:00:00,40.25,271.75,293.93182,-3.6841125
3260,1990-05-16 20:00:00,40.25,271.75,294.97693,-4.0844727
3261,1990-05-16 21:00:00,40.25,271.75,293.06003,-6.0424194
3262,1990-05-16 22:00:00,40.25,271.75,291.66653,-5.3711853
3263,1990-05-16 23:00:00,40.25,271.75,291.34677,-3.2155762
3355,1990-05-20 19:00:00,40.25,271.75,291.8574,-2.7891846
3356,1990-05-20 20:00:00,40.25,271.75,291.81555,-2.8988953
3358,1990-05-20 22:00:00,40.25,271.75,289.19394,-4.0918884
3359,1990-05-20 23:00:00,40.25,271.75,288.8744,-3.3171997
3360,1990-05-21 00:00:00,40.25,271.75,288.2613,-2.8692627
3363,1990-05-21 03:00:00,40.25,271.75,284.6704,-2.8510742
3413,1990-05-23 05:00:00,40.25,271.75,282.8115,-2.669342
3694,1990-06-03 22:00:00,40.25,271.75,289.83673,-4.3881226
3695,1990-06-03 23:00:00,40.25,271.75,287.78644,-5.604706
3696,1990-06-04 00:00:00,40.25,271.75,286.9784,-2.9927368
3762,1990-06-06 18:00:00,40.25,271.75,295.30765,-2.5114746
3789,1990-06-07 21:00:00,40.25,271.75,296.49774,-2.5677795
3790,1990-06-07 22:00:00,40.25,271.75,294.32736,-4.6738586
3791,1990-06-07 23:00:00,40.25,271.75,294.27933,-4.0769043
3792,1990-06-08 00:00:00,40.25,271.75,294.43265,-3.5849915
3794,1990-06-08 02:00:00,40.25,271.75,293.36676,-3.3060608
3795,1990-06-08 03:00:00,40.25,271.75,292.69067,-2.8988953
3797,1990-06-08 05:00:00,40.25,271.75,292.5854,-2.5089111
4126,1990-06-21 22:00:00,40.25,271.75,298.34094,-2.7700195
4306,1990-06-29 10:00:00,40.25,271.75,295.28067,-2.508484
4309,1990-06-29 13:00:00,40.25,271.75,293.29465,-2.8165588
4310,1990-06-29 14:00:00,40.25,271.75,293.18192,-3.1802368
4311,1990-06-29 15:00:00,40.25,271.75,295.30133,-2.678833
4312,1990-06-29 16:00:00,40.25,271.75,296.62033,-3.1614075
4313,1990-06-29 17:00:00,40.25,271.75,298.22116,-3.1898499
4320,1990-06-30 00:00:00,40.25,271.75,299.23767,-2.7596436
4563,1990-07-10 03:00:00,40.25,271.75,297.83185,-2.6960144
4584,1990-07-11 00:00:00,40.25,271.75,296.85956,-2.5715637
4654,1990-07-13 22:00:00,40.25,271.75,287.41388,-2.5600586
4679,1990-07-14 23:00:00,40.25,271.75,291.2971,-2.9476929
4798,1990-07-19 22:00:00,40.25,271.75,300.47852,-2.8067627
4822,1990-07-20 22:00:00,40.25,271.75,295.56186,-3.6672974
4823,1990-07-20 23:00:00,40.25,271.75,295.371,-2.750702
4846,1990-07-21 22:00:00,40.25,271.75,296.4369,-2.5289001
4848,1990-07-22 00:00:00,40.25,271.75,295.7596,-2.83313
5038,1990-07-29 22:00:00,40.25,271.75,299.09604,-3.6418762
5158,1990-08-03 22:00:00,40.25,271.75,298.65256,-2.730957
5245,1990-08-07 13:00:00,40.25,271.75,285.1687,-2.662201
5265,1990-08-08 09:00:00,40.25,271.75,285.14954,-2.6256409
5374,1990-08-12 22:00:00,40.25,271.75,294.01782,-3.161377
5686,1990-08-25 22:00:00,40.25,271.75,299.349,-2.5809937
5687,1990-08-25 23:00:00,40.25,271.75,298.864,-2.7865906
5688,1990-08-26 00:00:00,40.25,271.75,298.0191,-2.9024963
5712,1990-08-27 00:00:00,40.25,271.75,299.94693,-2.7911072
5734,1990-08-27 22:00:00,40.25,271.75,303.31403,-2.5986023
5758,1990-08-28 22:00:00,40.25,271.75,304.27914,-2.617035
5759,1990-08-28 23:00:00,40.25,271.75,303.45288,-2.993927
5787,1990-08-30 03:00:00,40.25,271.75,291.927,-2.519806
5854,1990-09-01 22:00:00,40.25,271.75,300.36563,-3.6982117
5855,1990-09-01 23:00:00,40.25,271.75,300.03613,-3.7294312
5856,1990-09-02 00:00:00,40.25,271.75,298.0541,-4.7414856
5857,1990-09-02 01:00:00,40.25,271.75,297.69604,-2.5205383
5878,1990-09-02 22:00:00,40.25,271.75,299.3516,-3.6975098
5879,1990-09-02 23:00:00,40.25,271.75,299.2298,-3.3396301
5880,1990-09-03 00:00:00,40.25,271.75,298.7201,-2.674286
5883,1990-09-03 03:00:00,40.25,271.75,294.19342,-2.7261963
5974,1990-09-06 22:00:00,40.25,271.75,303.14404,-3.774231
5998,1990-09-07 22:00:00,40.25,271.75,296.65204,-2.791565
6000,1990-09-08 00:00:00,40.25,271.75,296.00278,-2.6779175
6171,1990-09-15 03:00:00,40.25,271.75,290.26776,-2.9126892
6173,1990-09-15 05:00:00,40.25,271.75,288.77267,-3.2545776
6174,1990-09-15 06:00:00,40.25,271.75,288.2494,-3.0990906
6176,1990-09-15 08:00:00,40.25,271.75,287.26334,-2.7844849
6177,1990-09-15 09:00:00,40.25,271.75,286.73828,-2.991455
6178,1990-09-15 10:00:00,40.25,271.75,285.32327,-3.7490234
6179,1990-09-15 11:00:00,40.25,271.75,285.64188,-3.131897
6195,1990-09-16 03:00:00,40.25,271.75,287.15088,-2.5832214
6202,1990-09-16 10:00:00,40.25,271.75,287.32755,-2.639679
6203,1990-09-16 11:00:00,40.25,271.75,286.55255,-2.5185547
6219,1990-09-17 03:00:00,40.25,271.75,284.21545,-3.885559
6220,1990-09-17 04:00:00,40.25,271.75,284.32114,-2.850647
6221,1990-09-17 05:00:00,40.25,271.75,283.69394,-3.2493591
6226,1990-09-17 10:00:00,40.25,271.75,280.84393,-2.7371216
6227,1990-09-17 11:00:00,40.25,271.75,280.8266,-2.519165
6229,1990-09-17 13:00:00,40.25,271.75,281.09515,-3.2224426
6260,1990-09-18 20:00:00,40.25,271.75,286.0691,-2.6912537
6261,1990-09-18 21:00:00,40.25,271.75,286.26114,-2.7036438
6262,1990-09-18 22:00:00,40.25,271.75,286.51602,-2.490326
6339,1990-09-22 03:00:00,40.25,271.75,286.7426,-3.020996
6341,1990-09-22 05:00:00,40.25,271.75,285.08627,-3.1532898
6342,1990-09-22 06:00:00,40.25,271.75,284.71252,-2.9864502
6349,1990-09-22 13:00:00,40.25,271.75,282.414,-3.018097
6358,1990-09-22 22:00:00,40.25,271.75,288.3007,-3.3583984
6370,1990-09-23 10:00:00,40.25,271.75,279.6011,-2.6009216
6387,1990-09-24 03:00:00,40.25,271.75,281.16544,-2.8379517
6389,1990-09-24 05:00:00,40.25,271.75,279.18323,-4.0819397
6390,1990-09-24 06:00:00,40.25,271.75,278.3448,-3.5292969
6391,1990-09-24 07:00:00,40.25,271.75,278.16476,-2.9119263
6394,1990-09-24 10:00:00,40.25,271.75,276.52145,-2.568695
6397,1990-09-24 13:00:00,40.25,271.75,277.09332,-3.4088135
6430,1990-09-25 22:00:00,40.25,271.75,295.0039,-2.6371155
6454,1990-09-26 22:00:00,40.25,271.75,296.1219,-3.0360718
6455,1990-09-26 23:00:00,40.25,271.75,295.96112,-2.6870117
6469,1990-09-27 13:00:00,40.25,271.75,285.54965,-2.5292358
6478,1990-09-27 22:00:00,40.25,271.75,296.62625,-3.5940552
6479,1990-09-27 23:00:00,40.25,271.75,296.51877,-3.0861816
6502,1990-09-28 22:00:00,40.25,271.75,293.20358,-6.2160645
6503,1990-09-28 23:00:00,40.25,271.75,292.9086,-3.7322693
6526,1990-09-29 22:00:00,40.25,271.75,291.5666,-2.7676392
6531,1990-09-30 03:00:00,40.25,271.75,286.39893,-2.5384521
6550,1990-09-30 22:00:00,40.25,271.75,288.5328,-3.1320496
6551,1990-09-30 23:00:00,40.25,271.75,288.3766,-2.6751099
6560,1990-10-01 08:00:00,40.25,271.75,279.76663,-3.1169128
6561,1990-10-01 09:00:00,40.25,271.75,279.05386,-3.5207214
6574,1990-10-01 22:00:00,40.25,271.75,290.89096,-3.7776794
6575,1990-10-01 23:00:00,40.25,271.75,291.42725,-2.7881165
